Periods,y(t),Periods,y(t),Periods,y(t),Periods,y(t)
1,6.1,16,20.7,31,29.1,46,41.1
2,7.3,17,21.8,32,30.7,47,42.7
3,10.6,18,22.3,33,33.2,48,42.5
4,11.9,19,22.9,34,35.8,49,42.6
5,12.0,20,23.7,35,37.7,50,42.7
6,11.8,21,23.0,36,37.6,51,43.6
7,13.2,22,22.6,37,37.5,52,43.7
8,15.9,23,21.9,38,37.6,53,45.0
9,17.1,24,21.6,39,38.9,54,47.3
10,19.7,25,22.6,40,39.1,55,47.0
11,19.7,26,24.1,41,38.4,56,48.2
12,19.2,27,25.6,42,38.9,57,48.4
13,18.9,28,26.4,43,37.2,58,47.5
14,19.0,29,26.2,44,36.9,59,46.4
15,19.8,30,27.4,45,39.4,60,46.4
